red	eCut	att
0.0326	1.25893e+19	0.781795
0.0326	1.33352e+19	0.779595
0.0326	1.41254e+19	0.777415
0.0326	1.49624e+19	0.774722
0.0326	1.58489e+19	0.773175
0.0326	1.6788e+19	0.772144
0.0326	1.77828e+19	0.770707
0.0326	1.88365e+19	0.768027
0.0326	1.99526e+19	0.766513
0.0326	2.11349e+19	0.765878
0.0326	2.23872e+19	0.764327
0.0326	2.37137e+19	0.762286
0.0326	2.51189e+19	0.760392
0.0326	2.66073e+19	0.758079
0.0326	2.81838e+19	0.757714
0.0326	2.98538e+19	0.755379
0.0326	3.16228e+19	0.752772
0.0326	3.34965e+19	0.748517
0.0326	3.54813e+19	0.740411
0.0326	3.75837e+19	0.731155
0.0326	3.98107e+19	0.715314
0.0326	4.21697e+19	0.694571
0.0326	4.46684e+19	0.66447
0.0326	4.73151e+19	0.625191
0.0326	5.01187e+19	0.574599
0.0326	5.30884e+19	0.510476
0.0326	5.62341e+19	0.437938
0.0326	5.95662e+19	0.362863
0.0326	6.30957e+19	0.286272
0.0326	6.68344e+19	0.21239
0.0326	7.07946e+19	0.149565
0.0326	7.49894e+19	0.0963972
0.0326	7.94328e+19	0.0582678
0.0326	8.41395e+19	0.0340321
0.0326	8.91251e+19	0.0182427
0.0326	9.44061e+19	0.00885944
0.0326	1e+20	0.00410953
0.0351	1e+19	0.777932
0.0351	1.05925e+19	0.774713
0.0351	1.12202e+19	0.771489
0.0351	1.1885e+19	0.768352
0.0351	1.25893e+19	0.766328
0.0351	1.33352e+19	0.763875
0.0351	1.41254e+19	0.761272
0.0351	1.49624e+19	0.758755
0.0351	1.58489e+19	0.757157
0.0351	1.6788e+19	0.75576
0.0351	1.77828e+19	0.753902
0.0351	1.88365e+19	0.752173
0.0351	1.99526e+19	0.751538
0.0351	2.11349e+19	0.750308
0.0351	2.23872e+19	0.748512
0.0351	2.37137e+19	0.745783
0.0351	2.51189e+19	0.743715
0.0351	2.66073e+19	0.741379
0.0351	2.81838e+19	0.739836
0.0351	2.98538e+19	0.738262
0.0351	3.16228e+19	0.734171
0.0351	3.34965e+19	0.730083
0.0351	3.54813e+19	0.720302
0.0351	3.75837e+19	0.709773
0.0351	3.98107e+19	0.692156
0.0351	4.21697e+19	0.667796
0.0351	4.46684e+19	0.635306
0.0351	4.73151e+19	0.592228
0.0351	5.01187e+19	0.535737
0.0351	5.30884e+19	0.468317
0.0351	5.62341e+19	0.394798
0.0351	5.95662e+19	0.319521
0.0351	6.30957e+19	0.245297
0.0351	6.68344e+19	0.175974
0.0351	7.07946e+19	0.120365
0.0351	7.49894e+19	0.0743005
0.0351	7.94328e+19	0.0419001
0.0351	8.41395e+19	0.0230872
0.0351	8.91251e+19	0.0121329
0.0351	9.44061e+19	0.00545673
0.0351	1e+20	0.00203829
0.0376	1e+19	0.763818
0.0376	1.05925e+19	0.760513
0.0376	1.12202e+19	0.757383
0.0376	1.1885e+19	0.754782
0.0376	1.25893e+19	0.752497
0.0376	1.33352e+19	0.749039
0.0376	1.41254e+19	0.746296
0.0376	1.49624e+19	0.74376
0.0376	1.58489e+19	0.742013
0.0376	1.6788e+19	0.740033
0.0376	1.77828e+19	0.738632
0.0376	1.88365e+19	0.737371
0.0376	1.99526e+19	0.736198
0.0376	2.11349e+19	0.733973
0.0376	2.23872e+19	0.731862
0.0376	2.37137e+19	0.729538
0.0376	2.51189e+19	0.727185
0.0376	2.66073e+19	0.725691
0.0376	2.81838e+19	0.723658
0.0376	2.98538e+19	0.722296
0.0376	3.16228e+19	0.719122
0.0376	3.34965e+19	0.713373
0.0376	3.54813e+19	0.702141
0.0376	3.75837e+19	0.689477
0.0376	3.98107e+19	0.669651
0.0376	4.21697e+19	0.641932
0.0376	4.46684e+19	0.606548
0.0376	4.73151e+19	0.559355
0.0376	5.01187e+19	0.499363
0.0376	5.30884e+19	0.429672
0.0376	5.62341e+19	0.355698
0.0376	5.95662e+19	0.281291
0.0376	6.30957e+19	0.207985
0.0376	6.68344e+19	0.144208
0.0376	7.07946e+19	0.0932469
0.0376	7.49894e+19	0.0548045
0.0376	7.94328e+19	0.0298652
0.0376	8.41395e+19	0.0156189
0.0376	8.91251e+19	0.00738826
0.0376	9.44061e+19	0.00297868
0.0376	1e+20	0.000997884
0.0401	1e+19	0.749639
0.0401	1.05925e+19	0.745992
0.0401	1.12202e+19	0.742868
0.0401	1.1885e+19	0.739771
0.0401	1.25893e+19	0.737529
0.0401	1.33352e+19	0.734114
0.0401	1.41254e+19	0.730922
0.0401	1.49624e+19	0.728817
0.0401	1.58489e+19	0.726652
0.0401	1.6788e+19	0.725262
0.0401	1.77828e+19	0.724318
0.0401	1.88365e+19	0.722527
0.0401	1.99526e+19	0.720999
0.0401	2.11349e+19	0.71842
0.0401	2.23872e+19	0.716058
0.0401	2.37137e+19	0.713721
0.0401	2.51189e+19	0.711869
0.0401	2.66073e+19	0.710226
0.0401	2.81838e+19	0.707392
0.0401	2.98538e+19	0.704355
0.0401	3.16228e+19	0.700494
0.0401	3.34965e+19	0.693841
0.0401	3.54813e+19	0.682653
0.0401	3.75837e+19	0.667704
0.0401	3.98107e+19	0.647444
0.0401	4.21697e+19	0.61687
0.0401	4.46684e+19	0.577967
0.0401	4.73151e+19	0.526161
0.0401	5.01187e+19	0.464394
0.0401	5.30884e+19	0.391503
0.0401	5.62341e+19	0.317381
0.0401	5.95662e+19	0.242307
0.0401	6.30957e+19	0.17385
0.0401	6.68344e+19	0.114156
0.0401	7.07946e+19	0.0709621
0.0401	7.49894e+19	0.0398292
0.0401	7.94328e+19	0.0211529
0.0401	8.41395e+19	0.0104758
0.0401	8.91251e+19	0.00430079
0.0401	9.44061e+19	0.00166957
0.0401	1e+20	0.000636487
0.0426	1e+19	0.735536
0.0426	1.05925e+19	0.731859
0.0426	1.12202e+19	0.728301
0.0426	1.1885e+19	0.725528
0.0426	1.25893e+19	0.722996
0.0426	1.33352e+19	0.719858
0.0426	1.41254e+19	0.716424
0.0426	1.49624e+19	0.713619
0.0426	1.58489e+19	0.711397
0.0426	1.6788e+19	0.709951
0.0426	1.77828e+19	0.708689
0.0426	1.88365e+19	0.706841
0.0426	1.99526e+19	0.705977
0.0426	2.11349e+19	0.703619
0.0426	2.23872e+19	0.701065
0.0426	2.37137e+19	0.699118
0.0426	2.51189e+19	0.696339
0.0426	2.66073e+19	0.694547
0.0426	2.81838e+19	0.691791
0.0426	2.98538e+19	0.688476
0.0426	3.16228e+19	0.683212
0.0426	3.34965e+19	0.675319
0.0426	3.54813e+19	0.66342
0.0426	3.75837e+19	0.645636
0.0426	3.98107e+19	0.623054
0.0426	4.21697e+19	0.591109
0.0426	4.46684e+19	0.548528
0.0426	4.73151e+19	0.492943
0.0426	5.01187e+19	0.427597
0.0426	5.30884e+19	0.354647
0.0426	5.62341e+19	0.280421
0.0426	5.95662e+19	0.209647
0.0426	6.30957e+19	0.145819
0.0426	6.68344e+19	0.0924654
0.0426	7.07946e+19	0.0552261
0.0426	7.49894e+19	0.0295757
0.0426	7.94328e+19	0.015056
0.0426	8.41395e+19	0.00672517
0.0426	8.91251e+19	0.00264393
0.0426	9.44061e+19	0.00112298
0.0426	1e+20	0.000555931
0.0451	1e+19	0.721632
0.0451	1.05925e+19	0.717868
0.0451	1.12202e+19	0.714061
0.0451	1.1885e+19	0.711578
0.0451	1.25893e+19	0.708842
0.0451	1.33352e+19	0.705529
0.0451	1.41254e+19	0.702205
0.0451	1.49624e+19	0.698791
0.0451	1.58489e+19	0.696682
0.0451	1.6788e+19	0.694564
0.0451	1.77828e+19	0.693826
0.0451	1.88365e+19	0.692189
0.0451	1.99526e+19	0.691289
0.0451	2.11349e+19	0.689096
0.0451	2.23872e+19	0.686742
0.0451	2.37137e+19	0.684338
0.0451	2.51189e+19	0.681602
0.0451	2.66073e+19	0.679558
0.0451	2.81838e+19	0.676578
0.0451	2.98538e+19	0.673084
0.0451	3.16228e+19	0.666058
0.0451	3.34965e+19	0.656262
0.0451	3.54813e+19	0.642759
0.0451	3.75837e+19	0.623155
0.0451	3.98107e+19	0.599037
0.0451	4.21697e+19	0.564786
0.0451	4.46684e+19	0.517966
0.0451	4.73151e+19	0.459746
0.0451	5.01187e+19	0.392158
0.0451	5.30884e+19	0.319025
0.0451	5.62341e+19	0.245751
0.0451	5.95662e+19	0.17821
0.0451	6.30957e+19	0.117817
0.0451	6.68344e+19	0.0720896
0.0451	7.07946e+19	0.0398881
0.0451	7.49894e+19	0.0209412
0.0451	7.94328e+19	0.0103621
0.0451	8.41395e+19	0.00409836
0.0451	8.91251e+19	0.00132192
0.0451	9.44061e+19	0.000434153
0.0451	1e+20	0.000119071
