# [1]-ell [2]-1h+2h [3]-1h [4]-2h
8.600000000000000000e+01 6.417263315993354620e-04 6.030576942455427233e-04 3.866863735379271155e-05
8.700000000000000000e+01 6.332720128826566834e-04 5.958283916934966088e-04 3.744362118916006783e-05
8.800000000000000000e+01 6.250220197797340914e-04 5.887667540948649013e-04 3.625526568486918329e-05
8.900000000000000000e+01 6.169691926952104635e-04 5.818670546819422603e-04 3.510213801326824378e-05
9.000000000000000000e+01 6.091066992614938610e-04 5.751238237008138039e-04 3.398287556068000970e-05
9.100000000000000000e+01 6.014280159647422122e-04 5.685318341808327488e-04 3.289618178390946342e-05
9.200000000000000000e+01 5.939269109904770022e-04 5.620860886380615699e-04 3.184082235241543230e-05
9.300000000000000000e+01 5.865878342220133676e-04 5.557017662569927775e-04 3.088606796502056971e-05
9.400000000000000000e+01 5.794149898215785344e-04 5.494568823541174296e-04 2.995810746746114891e-05
9.500000000000000000e+01 5.724029172146155239e-04 5.433469581801060036e-04 2.905595903450954409e-05
9.600000000000000000e+01 5.655463899140624048e-04 5.373677039450858910e-04 2.817868596897649008e-05
9.700000000000000000e+01 5.588404031847134896e-04 5.315150089822617482e-04 2.732539420245172783e-05
9.800000000000000000e+01 5.522801624764950854e-04 5.257849325186489484e-04 2.649522995784613357e-05
9.900000000000000000e+01 5.458501639838646410e-04 5.201092626538663657e-04 2.574090132999827191e-05
1.000000000000000000e+02 5.395572369298819344e-04 5.145507350301011407e-04 2.500650189978075304e-05
1.010000000000000000e+02 5.333971429642316150e-04 5.091057986722722370e-04 2.429134429195934072e-05
1.020000000000000000e+02 5.273658148318453517e-04 5.037710439519499069e-04 2.359477087989543808e-05
1.030000000000000000e+02 5.214593478784986273e-04 4.985431956449888711e-04 2.291615223350974603e-05
1.040000000000000000e+02 5.156739920555051485e-04 4.934191063935544890e-04 2.225488566195069000e-05
1.050000000000000000e+02 5.099940885247257949e-04 4.883394017445962096e-04 2.165468678012953449e-05
1.060000000000000000e+02 5.044285708240575259e-04 4.833591130094149683e-04 2.106945781464252711e-05
1.070000000000000000e+02 4.989740975916795397e-04 4.784753863635687584e-04 2.049871122811075422e-05
1.080000000000000000e+02 4.936274549327403054e-04 4.736854755174609130e-04 1.994197941527942961e-05
1.090000000000000000e+02 4.883855504366223146e-04 4.689867367164213328e-04 1.939881372020094786e-05
1.100000000000000000e+02 4.832454075266722784e-04 4.643766240165469994e-04 1.886878351012528568e-05
1.110000000000000000e+02 4.782041601211060758e-04 4.598526848187503330e-04 1.835147530235575972e-05
1.120000000000000000e+02 4.732466019985061951e-04 4.553640351213339953e-04 1.788256687717217948e-05
1.130000000000000000e+02 4.683828487094410394e-04 4.509582033456777540e-04 1.742464536376328883e-05
1.140000000000000000e+02 4.636103258484292815e-04 4.466329511604722456e-04 1.697737468795702234e-05
1.150000000000000000e+02 4.589265513040326075e-04 4.423861196195814005e-04 1.654043168445121722e-05
1.160000000000000000e+02 4.543291311862616760e-04 4.382156256877300796e-04 1.611350549853160995e-05
1.170000000000000000e+02 4.498157559668494515e-04 4.341194589465971520e-04 1.569629702025230291e-05
1.180000000000000000e+02 4.453841968195618455e-04 4.300956784704987714e-04 1.528851834906305376e-05
1.190000000000000000e+02 4.410207160448149422e-04 4.261034018398816782e-04 1.491731420493324709e-05
1.200000000000000000e+02 4.367351113360609205e-04 4.221808002359412324e-04 1.455431110011969652e-05
1.210000000000000000e+02 4.325253670866976378e-04 4.183260945403277750e-04 1.419927254636985597e-05
1.220000000000000000e+02 4.283895358521763188e-04 4.145375652310399027e-04 1.385197062113641100e-05
1.230000000000000000e+02 4.243257355119284626e-04 4.108135499188498760e-04 1.351218559307859167e-05
1.240000000000000000e+02 4.203321465713202800e-04 4.071524410045796773e-04 1.317970556674062471e-05
1.250000000000000000e+02 4.164070095956639303e-04 4.035526834503808721e-04 1.285432614528307352e-05
1.260000000000000000e+02 4.125367031204690968e-04 3.999770776509591042e-04 1.255962546950998917e-05
1.270000000000000000e+02 4.087317814692492429e-04 3.964607045181662540e-04 1.227107695108297880e-05
1.280000000000000000e+02 4.049906431571990853e-04 3.930021302786797601e-04 1.198851287851934384e-05
1.290000000000000000e+02 4.013117379570455218e-04 3.895999666714866942e-04 1.171177128555881745e-05
1.300000000000000000e+02 3.976935648785898830e-04 3.862528691650971686e-04 1.144069571349268901e-05
1.310000000000000000e+02 3.941346702426543232e-04 3.829595352576407722e-04 1.117513498501357467e-05
1.320000000000000000e+02 3.906336458443409915e-04 3.797187028553947880e-04 1.091494298894621539e-05
1.330000000000000000e+02 3.871891272008241153e-04 3.765291487255645374e-04 1.065997847525958633e-05
1.340000000000000000e+02 3.837997918791847185e-04 3.733896870193869765e-04 1.041010485979775047e-05
1.350000000000000000e+02 3.804532730740914402e-04 3.702692449474673133e-04 1.018402812662415400e-05
1.360000000000000000e+02 3.771596567794381388e-04 3.671972894302657662e-04 9.962367349172394646e-06
