# [1]-ell [2]-1h+2h [3]-1h [4]-2h
2.600000000000000000e+01 1.198359044183274630e-02 1.104716459066179893e-02 9.364258511709474793e-04
2.700000000000000000e+01 1.144166598693064502e-02 1.058935546653479859e-02 8.523105203958456682e-04
2.800000000000000000e+01 1.094216219206566032e-02 1.016330576179997128e-02 7.788564302656881752e-04
2.900000000000000000e+01 1.048018615075355445e-02 9.768260472643501557e-03 7.119256781100522392e-04
3.000000000000000000e+01 1.005203027461387504e-02 9.398189119351692961e-03 6.538411552621818581e-04
3.100000000000000000e+01 9.653998596771915311e-03 9.053404361266290459e-03 6.005942355056249600e-04
3.200000000000000000e+01 9.283265799227315151e-03 8.729214447524074119e-03 5.540513517032413576e-04
3.300000000000000000e+01 8.937062080474605236e-03 8.425904001393983572e-03 5.111580790806223139e-04
3.400000000000000000e+01 8.613194709444176381e-03 8.139772641685874555e-03 4.734220677583020429e-04
3.500000000000000000e+01 8.309552242762382676e-03 7.871070525206365354e-03 4.384817175560175935e-04
3.600000000000000000e+01 8.024415529634209773e-03 7.616517276006847317e-03 4.078982536273622391e-04
3.700000000000000000e+01 7.756139681070681191e-03 7.376681092842054741e-03 3.794585882286268300e-04
3.800000000000000000e+01 7.503318364458285740e-03 7.150350373769427496e-03 3.529679906888581352e-04
3.900000000000000000e+01 7.264720722953051275e-03 6.935080754422943972e-03 3.296399685301072495e-04
4.000000000000000000e+01 7.039193586732600885e-03 6.731362780307241847e-03 3.078308064253587671e-04
4.100000000000000000e+01 6.825728109231310285e-03 6.537234112315905114e-03 2.884939969154053335e-04
4.200000000000000000e+01 6.623410476510439328e-03 6.353054217911109636e-03 2.703562585993298005e-04
4.300000000000000000e+01 6.431417750693560302e-03 6.178096607716803204e-03 2.533211429767572064e-04
4.400000000000000000e+01 6.248993665874166999e-03 6.010699873912287577e-03 2.382937919618793399e-04
4.500000000000000000e+01 6.075474011192742892e-03 5.851335984093613066e-03 2.241380270991297989e-04
4.600000000000000000e+01 5.910243800531616611e-03 5.699455555164653804e-03 2.107882453669625896e-04
4.700000000000000000e+01 5.752724248674871352e-03 5.553786054300536082e-03 1.989381943743355409e-04
4.800000000000000000e+01 5.602422961756357844e-03 5.414689228530870750e-03 1.877337332254867689e-04
4.900000000000000000e+01 5.458871545245861170e-03 5.281742343466726275e-03 1.771292017791350852e-04
5.000000000000000000e+01 5.321620711651440898e-03 5.153956977672563902e-03 1.676637339788769143e-04
5.100000000000000000e+01 5.190297308457424499e-03 5.031612854747386995e-03 1.586844537100370975e-04
5.200000000000000000e+01 5.064538606795506576e-03 4.914379675381703658e-03 1.501589314138033246e-04
5.300000000000000000e+01 4.943990996106015050e-03 4.801480868849369518e-03 1.425101272566454231e-04
5.400000000000000000e+01 4.828366596551084307e-03 4.693133634566814399e-03 1.352329619842702326e-04
5.500000000000000000e+01 4.717380348705455320e-03 4.589076367840712843e-03 1.283039808647429107e-04
5.600000000000000000e+01 4.610747538088952845e-03 4.488635274539252810e-03 1.221122635496999799e-04
5.700000000000000000e+01 4.508245648358623001e-03 4.392040019759983413e-03 1.162056285986394521e-04
5.800000000000000000e+01 4.409647698702286178e-03 4.299080687105486485e-03 1.105670115967999232e-04
5.900000000000000000e+01 4.314742768025291685e-03 4.209562146078604968e-03 1.051806219466871101e-04
6.000000000000000000e+01 4.223315013561353484e-03 4.122929014030030613e-03 1.003859995313225730e-04
6.100000000000000000e+01 4.135202185139484621e-03 4.039404154611952492e-03 9.579803052753191155e-05
6.200000000000000000e+01 4.050233730329672911e-03 3.958828597137463781e-03 9.140513319220913008e-05
6.300000000000000000e+01 3.968250405067692485e-03 3.881053869181308718e-03 8.719653588638345539e-05
6.400000000000000000e+01 3.889092408448392973e-03 3.805663176698225857e-03 8.342923175016721032e-05
6.500000000000000000e+01 3.812631916247291065e-03 3.732817359086002505e-03 7.981455716128866857e-05
6.600000000000000000e+01 3.738738439169675149e-03 3.662393968829511740e-03 7.634447034016347670e-05
6.700000000000000000e+01 3.667289628334540440e-03 3.594278169652904802e-03 7.301145868163544839e-05
6.800000000000000000e+01 3.598159096506695943e-03 3.528146339926205039e-03 7.001275658049091780e-05
6.900000000000000000e+01 3.531251035086677495e-03 3.464122365743005794e-03 6.712866934367164645e-05
7.000000000000000000e+01 3.466463991771486473e-03 3.402110492527509085e-03 6.435349924397732065e-05
7.100000000000000000e+01 3.403702490162372699e-03 3.342020587645661098e-03 6.168190251671158730e-05
7.200000000000000000e+01 3.342872101817164279e-03 3.283587396761516574e-03 5.928470505564750195e-05
7.300000000000000000e+01 3.283892733396088712e-03 3.226918591226494906e-03 5.697414216959365712e-05
7.400000000000000000e+01 3.226684392526955446e-03 3.171938253484635640e-03 5.474613904231973884e-05
7.500000000000000000e+01 3.171171549821309981e-03 3.118574689285696921e-03 5.259686053561308671e-05
7.600000000000000000e+01 3.117282834970983279e-03 3.066760140718843668e-03 5.052269425213943503e-05
7.700000000000000000e+01 3.064949106271615611e-03 3.016282275842331086e-03 4.866683042928436316e-05
7.800000000000000000e+01 3.014108209285755978e-03 2.967234374144520070e-03 4.687383514123604980e-05
7.900000000000000000e+01 2.964699657087854941e-03 2.919558720557325227e-03 4.514093653052963893e-05
8.000000000000000000e+01 2.916666128602462497e-03 2.873200612943111430e-03 4.346551565935118848e-05
8.100000000000000000e+01 2.869953266236487457e-03 2.828108169869582127e-03 4.184509636690546632e-05
8.200000000000000000e+01 2.824511459594199973e-03 2.784123920235837078e-03 4.038753935836286111e-05
8.300000000000000000e+01 2.780289688595808436e-03 2.741313240616413509e-03 3.897644797939511010e-05
8.400000000000000000e+01 2.737241420824352428e-03 2.699631526563416647e-03 3.760989426093593036e-05
8.500000000000000000e+01 2.695322417471036468e-03 2.659036367088938278e-03 3.628605038209833922e-05
8.600000000000000000e+01 2.654490595183780534e-03 2.619487412771787007e-03 3.500318241199348618e-05
8.700000000000000000e+01 2.614711382602468402e-03 2.580860280243812022e-03 3.385110235865650862e-05
8.800000000000000000e+01 2.575940959729624852e-03 2.543207282460703284e-03 3.273367726892149372e-05
8.900000000000000000e+01 2.538142982452886581e-03 2.506493432752408389e-03 3.164954970047825962e-05
9.000000000000000000e+01 2.501282799520136366e-03 2.470685370703420460e-03 3.059742881671611621e-05
9.100000000000000000e+01 2.465327356134358779e-03 2.435751269681599857e-03 2.957608645275890851e-05
9.200000000000000000e+01 2.430245104019066512e-03 2.401660750566176391e-03 2.858435345288999233e-05
9.300000000000000000e+01 2.396014459600484536e-03 2.368319054735864085e-03 2.769540486462028207e-05
9.400000000000000000e+01 2.362597826988779674e-03 2.335766302753841932e-03 2.683152423493755209e-05
9.500000000000000000e+01 2.329967705828041476e-03 2.303975914763320854e-03 2.599179106472062142e-05
9.600000000000000000e+01 2.298097797403953445e-03 2.272922470188432163e-03 2.517532721552145499e-05
9.700000000000000000e+01 2.266962940414559997e-03 2.242581645852904579e-03 2.438129456165545516e-05
9.800000000000000000e+01 2.236539050789627774e-03 2.212930157995242429e-03 2.360889279438516212e-05
9.900000000000000000e+01 2.206813417609086812e-03 2.183900507984915321e-03 2.291290962417145705e-05
1.000000000000000000e+02 2.177753283080592975e-03 2.155517884781578755e-03 2.223539829901431447e-05
1.010000000000000000e+02 2.149337481212694554e-03 2.127761760758430792e-03 2.157572045426393783e-05
1.020000000000000000e+02 2.121545716989886154e-03 2.100612451605499923e-03 2.093326538438604773e-05
1.030000000000000000e+02 2.094358522510123867e-03 2.074051073911294119e-03 2.030744859882979589e-05
1.040000000000000000e+02 2.067757215728576858e-03 2.048059505262511161e-03 1.969771046606556453e-05
1.050000000000000000e+02 2.041736341391440449e-03 2.022587573818846775e-03 1.914876757259386078e-05
1.060000000000000000e+02 2.016265842541381439e-03 1.997652267632916631e-03 1.861357490846501770e-05
1.070000000000000000e+02 1.991329182707484140e-03 1.973237498875052027e-03 1.809168383243230332e-05
1.080000000000000000e+02 1.966910468443866696e-03 1.949327804379023940e-03 1.758266406484281335e-05
1.090000000000000000e+02 1.942994418716667429e-03 1.925908315935057893e-03 1.708610278160960412e-05
1.100000000000000000e+02 1.919566336011344120e-03 1.902964732250856132e-03 1.660160376048788302e-05
1.110000000000000000e+02 1.896612079049092570e-03 1.880483292472890158e-03 1.612878657620250955e-05
1.120000000000000000e+02 1.874132245653227285e-03 1.858428627161037155e-03 1.570361849219023475e-05
1.130000000000000000e+02 1.852099145786695496e-03 1.836810693154384937e-03 1.528845263231058617e-05
1.140000000000000000e+02 1.830500169863981483e-03 1.815617187351581787e-03 1.488298251239970017e-05
1.150000000000000000e+02 1.809323169060849355e-03 1.794836255628413360e-03 1.448691343243605655e-05
1.160000000000000000e+02 1.788556434692849815e-03 1.774456472762832348e-03 1.409996193001739241e-05
1.170000000000000000e+02 1.768188678683725286e-03 1.754466823420219044e-03 1.372185526350625793e-05
1.180000000000000000e+02 1.748209015057420072e-03 1.734856684134418719e-03 1.335233092300134137e-05
1.190000000000000000e+02 1.728621201672453974e-03 1.715602829412620715e-03 1.301837225983316110e-05
